make_standardized,model_raw,model_standardized,ev_category
FIAT,JAYCON,JAYCON,ICE
FIAT,JRV,JRV,ICE
FIAT,OPTIMU,OPTIMU,ICE
FIAT,RANGER,RANGER,ICE
FIAT,RENTAL,RENTAL,ICE
FIAT,SCUDO,SCUDO,ICE
FIAT,SIGNAT,SIGNAT,ICE
FIAT,TARINO,TARINO,ICE
FIAT,TORINO,TORINO,ICE
FIAT,V 6442,V 6442,ICE
FIAT,V6414,V6414,ICE
FORD,2023,2023,ICE
FORD,2024,2024,ICE
FORD,2025,2025,ICE
FORD,ALL N,ALL N,ICE
FORD,ALL NE,ALL NE,ICE
FORD,ARBRGR,ARBRGR,ICE
FORD,ATTO 2,ATTO 2,ICE
FORD,BF2SRW,BF2SRW,ICE
FORD,D90,D90,ICE
FORD,DD2SRX,DD2SRX,ICE
FORD,E,E,ICE
FORD,E TRAN,E TRAN,ICE
FORD,ERVERE,ERVERE,ICE
FORD,ESCAPE,ESCAPE,ICE
FORD,ESCPAE,ESCPAE,ICE
FORD,EVER,EVER,BEV
FORD,EVERAS,EVERAS,BEV
FORD,EVERER,EVERER,BEV
FORD,EVERES,EVERES,BEV
FORD,EVERRE,EVERRE,BEV
FORD,EVERS,EVERS,BEV
FORD,EVERSE,EVERSE,BEV
FORD,EVERST,EVERST,BEV
FORD,EVERTE,EVERTE,BEV
FORD,EVREST,EVREST,BEV
FORD,EVRRES,EVRRES,BEV
FORD,EXPLOR,EXPLOR,ICE
FORD,F 150,F 150,ICE
FORD,F 250,F 250,ICE
FORD,F 350,F 350,ICE
FORD,F-150,F-150,ICE
FORD,F150,F150,ICE
FORD,F150 L,F150 L,ICE
FORD,F150 P,F150 P,ICE
FORD,F150 S,F150 S,ICE
FORD,F150 X,F150 X,ICE
FORD,F250,F250,ICE
FORD,F250 L,F250 L,ICE
FORD,F250 P,F250 P,ICE
FORD,F250 X,F250 X,ICE
FORD,F250SR,F250SR,ICE
FORD,F350,F350,ICE
FORD,F350 L,F350 L,ICE
FORD,F450,F450,ICE
FORD,FALCON,FALCON,ICE
FORD,FIESTA,FIESTA,ICE
FORD,FOCUS,FOCUS,ICE
FORD,FORD,FORD,ICE
FORD,FORD R,FORD R,ICE
FORD,H6 ULT,H6 ULT,ICE
FORD,JOLION,JOLION,ICE
FORD,KONA,KONA,ICE
FORD,LARIAT,LARIAT,ICE
FORD,LIGHTN,LIGHTN,ICE
FORD,MACH E,MACH E,ICE
FORD,MACHE,MACHE,ICE
FORD,MSTANG,MSTANG,ICE
FORD,MUS,MUS,ICE
FORD,MUSTA,MUSTA,ICE
FORD,MUSTAG,MUSTAG,ICE
FORD,MUSTAN,MUSTAN,ICE
FORD,MUSTNG,MUSTNG,ICE
FORD,P,P,ICE
FORD,PLATIN,PLATIN,ICE
FORD,PUMA,PUMA,ICE
FORD,PUMA S,PUMA S,ICE
FORD,R,R,ICE
FORD,RA,RA,ICE
FORD,RAMGER,RAMGER,ICE
FORD,RAN,RAN,ICE
FORD,RANEGR,RANEGR,ICE
FORD,RANER,RANER,ICE
FORD,RANFER,RANFER,ICE
FORD,RANGE,RANGE,ICE
FORD,RANGEE,RANGEE,ICE
FORD,RANGER,RANGER,ICE
FORD,RANGET,RANGET,ICE
FORD,RANGR,RANGR,ICE
FORD,RANGRT,RANGRT,ICE
FORD,RAPTOR,RAPTOR,ICE
FORD,RAPTPR,RAPTPR,ICE
FORD,RNAGER,RNAGER,ICE
FORD,RNGER,RNGER,ICE
FORD,SANTA,SANTA,ICE
FORD,SDUTY,SDUTY,ICE
FORD,SEAL,SEAL,ICE
FORD,SEALIO,SEALIO,ICE
FORD,SHELBY,SHELBY,ICE
FORD,SPORT,SPORT,ICE
FORD,SUNCAM,SUNCAM,ICE
FORD,SUPER,SUPER,ICE
FORD,SUPERD,SUPERD,ICE
FORD,SUPGD,SUPGD,ICE
FORD,SWIFT,SWIFT,ICE
FORD,TANK 3,TANK 3,ICE
FORD,TANSIT,TANSIT,ICE
FORD,TIGGO,TIGGO,ICE
FORD,TOUARE,TOUARE,ICE
FORD,TOUENE,TOUENE,ICE
FORD,TOURNE,TOURNE,ICE
FORD,TR 545,TR 545,ICE
FORD,TR CUS,TR CUS,ICE
FORD,TR TRA,TR TRA,ICE
FORD,TR5452,TR5452,ICE
FORD,TRANIS,TRANIS,ICE
FORD,TRANIT,TRANIT,ICE
FORD,TRANSI,TRANSI,ICE
FORD,TRANST,TRANST,ICE
FORD,TRASNI,TRASNI,ICE
FORD,TREMOR,TREMOR,ICE
FORD,TUCSON,TUCSON,ICE
FORD,UTE CA,UTE CA,ICE
FORD,VAN,VAN,ICE
FORD,VENUE,VENUE,ICE
FORD,WANGER,WANGER,ICE
FORD,WILDTR,WILDTR,ICE
FORD,XL BLA,XL BLA,ICE
FORD,XL DC,XL DC,ICE
FORD,XLT CA,XLT CA,ICE
FORD,YN2SPX,YN2SPX,ICE
FORD,YN2SSW,YN2SSW,ICE
FORD,YNWSRR,YNWSRR,ICE
FORD,ZRV,ZRV,ICE
GAC,AION,AION,ICE
GAC,AION U,AION U,ICE
GAC,AION V,AION V,ICE
GAC,AIONV,AIONV,ICE
GAC,EMZOOM,EMZOOM,ICE
GAC,M8,M8,ICE
GEELY,COMPLE,COMPLE,ICE
GEELY,EX INS,EX INS,ICE
GEELY,EX4,EX4,ICE
GEELY,EX5,EX5,ICE
GEELY,EX5 CO,EX5 CO,ICE
GEELY,EX5 IN,EX5 IN,ICE
GEELY,INSPIR,INSPIR,ICE
GEELY,INSPRE,INSPRE,ICE
GEELY,STARRA,STARRA,ICE
GEELY,STARRY,STARRY,ICE
HOLDEN,CHEVRO,CHEVRO,HEV
HOLDEN,COMMOD,COMMOD,ICE
HOLDEN,CORVET,CORVET,ICE
HOLDEN,CRV,CRV,ICE
HOLDEN,GMC YU,GMC YU,ICE
HOLDEN,HOLDEN,HOLDEN,ICE
HOLDEN,HONDA,HONDA,ICE
HOLDEN,SILVEA,SILVEA,ICE
HOLDEN,SILVER,SILVER,ICE
HOLDEN,STATES,STATES,ICE
HOLDEN,VFGSSV,VFGSSV,ICE
HOLDEN,YUKON,YUKON,ICE
HOLDEN,ZRV,ZRV,ICE
HONDA,NAN,NAN,ICE
HONDA,1000M3,1000M3,ICE
HONDA,2025,2025,ICE
HONDA,400258,400258,ICE
HONDA,500NX,500NX,ICE
HONDA,5X5 70,5X5 70,ICE
HONDA,5X5700,5X5700,ICE
HONDA,750 HO,750 HO,ICE
HONDA,ACCORD,ACCORD,ICE
HONDA,ADVENT,ADVENT,ICE
HONDA,AFRICA,AFRICA,ICE
HONDA,C65FAL,C65FAL,ICE
HONDA,CB 125,CB 125,ICE
HONDA,CB1000,CB1000,ICE
HONDA,CB125,CB125,ICE
HONDA,CB125E,CB125E,ICE
HONDA,CB125F,CB125F,ICE
HONDA,CB125L,CB125L,ICE
HONDA,CB300F,CB300F,ICE
HONDA,CB300N,CB300N,ICE
HONDA,CB300R,CB300R,ICE
HONDA,CB350,CB350,ICE
HONDA,CB350F,CB350F,ICE
HONDA,CB45O,CB45O,ICE
HONDA,CB500,CB500,ICE
HONDA,CB500F,CB500F,ICE
HONDA,CB500R,CB500R,ICE
HONDA,CB500X,CB500X,ICE
HONDA,CB650R,CB650R,ICE
HONDA,CB750,CB750,ICE
HONDA,CB750A,CB750A,ICE
HONDA,CB750R,CB750R,ICE
HONDA,CBF,CBF,ICE
HONDA,CBF 12,CBF 12,ICE
HONDA,CBF125,CBF125,ICE
HONDA,CBF300,CBF300,ICE
HONDA,CBR100,CBR100,ICE
HONDA,CBR500,CBR500,ICE
HONDA,CBR50R,CBR50R,ICE
HONDA,CBR5R,CBR5R,ICE
HONDA,CBR600,CBR600,ICE
HONDA,CBR650,CBR650,ICE
HONDA,CER150,CER150,ICE
HONDA,CERATO,CERATO,ICE
HONDA,CERV H,CERV H,ICE
HONDA,CFR300,CFR300,ICE
HONDA,CIVIC,CIVIC,ICE
HONDA,CL500,CL500,ICE
HONDA,CL500A,CL500A,ICE
HONDA,CL500L,CL500L,ICE
HONDA,CMC500,CMC500,ICE
HONDA,CMX 11,CMX 11,ICE
HONDA,CMX 50,CMX 50,ICE
HONDA,CMX110,CMX110,ICE
HONDA,CMX500,CMX500,ICE
HONDA,CR V,CR V,ICE
HONDA,CR-V,CR-V,ICE
HONDA,CRC,CRC,ICE
HONDA,CRF,CRF,ICE
HONDA,CRF 11,CRF 11,ICE
HONDA,CRF 30,CRF 30,ICE
HONDA,CRF 45,CRF 45,ICE
HONDA,CRF RA,CRF RA,ICE
HONDA,CRF110,CRF110,ICE
HONDA,CRF125,CRF125,ICE
HONDA,CRF150,CRF150,ICE
HONDA,CRF230,CRF230,ICE
HONDA,CRF250,CRF250,ICE
HONDA,CRF300,CRF300,ICE
HONDA,CRF450,CRF450,ICE
HONDA,CRF45L,CRF45L,ICE
HONDA,CRF45O,CRF45O,ICE
HONDA,CRF45X,CRF45X,ICE
HONDA,CRV,CRV,ICE
HONDA,CRV BL,CRV BL,ICE
HONDA,CRV EH,CRV EH,ICE
HONDA,CRV H,CRV H,ICE
HONDA,CRV HE,CRV HE,ICE
HONDA,CRV HY,CRV HY,ICE
HONDA,CRV RS,CRV RS,ICE
HONDA,CRV V,CRV V,ICE
HONDA,CRV VI,CRV VI,ICE
HONDA,CRV VT,CRV VT,ICE
HONDA,CRVVTL,CRVVTL,ICE
HONDA,CT10,CT10,ICE
HONDA,CT125,CT125,ICE
HONDA,CV,CV,ICE
HONDA,DIO 11,DIO 11,ICE
HONDA,DIO110,DIO110,ICE
HONDA,DIOS,DIOS,ICE
HONDA,EX5,EX5,ICE
HONDA,FIT,FIT,ICE
HONDA,FORZA,FORZA,ICE
HONDA,FORZA3,FORZA3,ICE
HONDA,GB350,GB350,ICE
HONDA,GB350C,GB350C,ICE
HONDA,GB350R,GB350R,ICE
HONDA,GB400,GB400,ICE
HONDA,GB500,GB500,ICE
HONDA,GL1800,GL1800,ICE
HONDA,GOLDIN,GOLDIN,ICE
HONDA,GOLDWI,GOLDWI,ICE
HONDA,HEV EH,HEV EH,HEV
HONDA,HONDA,HONDA,ICE
HONDA,HONDAZ,HONDAZ,ICE
HONDA,HORNET,HORNET,ICE
HONDA,HR V,HR V,ICE
HONDA,HR VIX,HR VIX,ICE
HONDA,HR-V,HR-V,ICE
HONDA,HRV,HRV,ICE
HONDA,HRV E,HRV E,ICE
HONDA,HRV EH,HRV EH,ICE
HONDA,HRV HE,HRV HE,ICE
HONDA,HRV V,HRV V,ICE
HONDA,HRV VI,HRV VI,ICE
HONDA,HZRV,HZRV,ICE
HONDA,HZV,HZV,ICE
HONDA,IMPREZ,IMPREZ,ICE
HONDA,JK29,JK29,ICE
HONDA,L15ZK5,L15ZK5,ICE
HONDA,MP3,MP3,ICE
HONDA,MW110,MW110,ICE
HONDA,NAKED,NAKED,ICE
HONDA,NAV110,NAV110,ICE
HONDA,NAVI,NAVI,ICE
HONDA,NAVI 1,NAVI 1,ICE
HONDA,NAVI L,NAVI L,ICE
HONDA,NAVI11,NAVI11,ICE
HONDA,NBOX,NBOX,ICE
HONDA,NCS110,NCS110,ICE
HONDA,NSC110,NSC110,ICE
HONDA,NSR250,NSR250,ICE
HONDA,NSS350,NSS350,ICE
HONDA,NT 110,NT 110,ICE
HONDA,NT1100,NT1100,ICE
HONDA,NVA110,NVA110,ICE
HONDA,NX500,NX500,ICE
HONDA,ODYSEY,ODYSEY,ICE
HONDA,ODYSSE,ODYSSE,ICE
HONDA,P700,P700,ICE
HONDA,PCX,PCX,ICE
HONDA,PCX 12,PCX 12,ICE
HONDA,PCX125,PCX125,ICE
HONDA,PCX150,PCX150,ICE
HONDA,PIONEE,PIONEE,ICE
HONDA,PRELUD,PRELUD,ICE
HONDA,PXC125,PXC125,ICE
HONDA,R 1250,R 1250,ICE
HONDA,R1300G,R1300G,ICE
HONDA,S660,S660,ICE
HONDA,SDH125,SDH125,ICE
HONDA,SELTOS,SELTOS,ICE
HONDA,SUPER,SUPER,ICE
HONDA,SWV2,SWV2,ICE
HONDA,SX1000,SX1000,ICE
HONDA,SX5700,SX5700,ICE
HONDA,SXS,SXS,ICE
HONDA,SXS 10,SXS 10,ICE
HONDA,SXS 70,SXS 70,ICE
HONDA,SXS100,SXS100,ICE
HONDA,SXS520,SXS520,ICE
HONDA,SXS700,SXS700,ICE
HONDA,TRANSA,TRANSA,ICE
HONDA,TRX042,TRX042,ICE
HONDA,TRX420,TRX420,ICE
HONDA,TRX500,TRX500,ICE
HONDA,TRX520,TRX520,ICE
HONDA,TYPE R,TYPE R,ICE
HONDA,TYPER,TYPER,ICE
HONDA,VARG,VARG,ICE
HONDA,VL750,VL750,ICE
HONDA,VRV,VRV,ICE
HONDA,WAGON,WAGON,ICE
HONDA,WW125,WW125,ICE
HONDA,WW125P,WW125P,ICE
HONDA,XL 750,XL 750,ICE
HONDA,XL TRA,XL TRA,ICE
HONDA,XL750,XL750,ICE
HONDA,XL750P,XL750P,ICE
HONDA,XL750S,XL750S,ICE
HONDA,XL750V,XL750V,ICE
HONDA,XR125,XR125,ICE
HONDA,XR150L,XR150L,ICE
HONDA,XR190,XR190,ICE
HONDA,XR190C,XR190C,ICE
HONDA,XR200R,XR200R,ICE
HONDA,XR400,XR400,ICE
HONDA,XR750,XR750,ICE
HONDA,ZEV,ZEV,BEV
HONDA,ZR,ZR,ICE
HONDA,ZR V,ZR V,ICE
HONDA,ZR900S,ZR900S,ICE
HONDA,ZRC,ZRC,ICE
HONDA,ZRV,ZRV,ICE
HONDA,ZRV EH,ZRV EH,ICE
HONDA,ZRV HE,ZRV HE,ICE
HONDA,ZRV HY,ZRV HY,ICE
HONDA,ZRV V,ZRV V,ICE
HONDA,ZRV VT,ZRV VT,ICE
HYUNDAI,NAN,NAN,ICE
HYUNDAI,120,120,ICE
HYUNDAI,130,130,ICE
HYUNDAI,130 HE,130 HE,ICE
HYUNDAI,130 N,130 N,ICE
HYUNDAI,2023,2023,ICE
HYUNDAI,2024,2024,ICE
HYUNDAI,2025,2025,ICE
HYUNDAI,24,24,ICE
HYUNDAI,25,25,ICE
HYUNDAI,25LE-7,25LE-7,ICE
HYUNDAI,30,30,ICE
HYUNDAI,ACCENT,ACCENT,ICE
HYUNDAI,BC3 V2,BC3 V2,ICE
HYUNDAI,CE V1,CE V1,ICE
HYUNDAI,CN7 V2,CN7 V2,ICE
HYUNDAI,CN7 V4,CN7 V4,ICE
HYUNDAI,CROSST,CROSST,ICE
HYUNDAI,D115SU,D115SU,ICE
HYUNDAI,D4HBRH,D4HBRH,ICE
HYUNDAI,D90,D90,ICE
HYUNDAI,ELEXI,ELEXI,ICE
HYUNDAI,ELEXIO,ELEXIO,ICE
HYUNDAI,EVERES,EVERES,BEV
HYUNDAI,EX,EX,ICE
HYUNDAI,EX4 MW,EX4 MW,ICE
HYUNDAI,EX6,EX6,ICE
HYUNDAI,EX6MWB,EX6MWB,ICE
HYUNDAI,EX9,EX9,ICE
HYUNDAI,EX9MIG,EX9MIG,ICE
HYUNDAI,EXCITE,EXCITE,ICE
HYUNDAI,FORES,FORES,ICE
HYUNDAI,G6DUPA,G6DUPA,ICE
HYUNDAI,GENESI,GENESI,ICE
HYUNDAI,HL7579,HL7579,ICE
HYUNDAI,HL940,HL940,ICE
HYUNDAI,HL955A,HL955A,ICE
HYUNDAI,HL960,HL960,ICE
HYUNDAI,HL970T,HL970T,ICE
HYUNDAI,HS,HS,ICE
HYUNDAI,HX235L,HX235L,ICE
HYUNDAI,HX350,HX350,ICE
HYUNDAI,HYUNDA,HYUNDA,ICE
HYUNDAI,I20,I20,ICE
HYUNDAI,I20 N,I20 N,ICE
HYUNDAI,I20N,I20N,ICE
HYUNDAI,I30,I30,ICE
HYUNDAI,I30 AC,I30 AC,ICE
HYUNDAI,I30 DR,I30 DR,ICE
HYUNDAI,I30 EL,I30 EL,ICE
HYUNDAI,I30 HA,I30 HA,ICE
HYUNDAI,I30 HE,I30 HE,ICE
HYUNDAI,I30 HY,I30 HY,ICE
HYUNDAI,I30 MH,I30 MH,ICE
HYUNDAI,I30 N,I30 N,ICE
HYUNDAI,I30 NL,I30 NL,ICE
HYUNDAI,I30 PR,I30 PR,ICE
HYUNDAI,I30 SE,I30 SE,ICE
HYUNDAI,I30N,I30N,ICE
HYUNDAI,I30N P,I30N P,ICE
HYUNDAI,I3O,I3O,ICE
HYUNDAI,ILOAD,ILOAD,ICE
HYUNDAI,INOIQ,INOIQ,ICE
HYUNDAI,INSTER,INSTER,ICE
HYUNDAI,IONIC,IONIC,ICE
HYUNDAI,IONIQ,IONIQ,ICE
HYUNDAI,IONIQ5,IONIQ5,BEV
HYUNDAI,IONIQ6,IONIQ6,BEV
HYUNDAI,IONIQ9,IONIQ9,ICE
HYUNDAI,IONOQ,IONOQ,ICE
HYUNDAI,IONQ5,IONQ5,ICE
HYUNDAI,K,K,ICE
HYUNDAI,KNA,KNA,ICE
HYUNDAI,KNOA,KNOA,ICE
HYUNDAI,KOAN H,KOAN H,ICE
HYUNDAI,KOMA,KOMA,ICE
HYUNDAI,KONA,KONA,ICE
HYUNDAI,KONA A,KONA A,ICE
HYUNDAI,KONA C,KONA C,ICE
HYUNDAI,KONA E,KONA E,ICE
HYUNDAI,KONA H,KONA H,ICE
HYUNDAI,KONA K,KONA K,ICE
HYUNDAI,KONA N,KONA N,ICE
HYUNDAI,KONA P,KONA P,ICE
HYUNDAI,KONA S,KONA S,ICE
HYUNDAI,KONAW,KONAW,ICE
HYUNDAI,KONDA,KONDA,ICE
HYUNDAI,KOONA,KOONA,ICE
HYUNDAI,KPNA,KPNA,ICE
HYUNDAI,LX2 V5,LX2 V5,ICE
HYUNDAI,MG5,MG5,ICE
HYUNDAI,MG5 VI,MG5 VI,ICE
HYUNDAI,MIFA,MIFA,ICE
HYUNDAI,MIGHTY,MIGHTY,ICE
HYUNDAI,MX 5 S,MX 5 S,ICE
HYUNDAI,MX5 SA,MX5 SA,ICE
HYUNDAI,MX5 V1,MX5 V1,ICE
HYUNDAI,MX5 V2,MX5 V2,ICE
HYUNDAI,MY23 I,MY23 I,ICE
HYUNDAI,MY23 S,MY23 S,ICE
HYUNDAI,MY23 V,MY23 V,ICE
HYUNDAI,NE V4,NE V4,ICE
HYUNDAI,NX4,NX4,ICE
HYUNDAI,NX4 TU,NX4 TU,ICE
HYUNDAI,NX4 V3,NX4 V3,ICE
HYUNDAI,NX4 V4,NX4 V4,ICE
HYUNDAI,OINIQ,OINIQ,ICE
HYUNDAI,OMODA,OMODA,ICE
HYUNDAI,ONA,ONA,ICE
HYUNDAI,OS KON,OS KON,ICE
HYUNDAI,OUTBAC,OUTBAC,ICE
HYUNDAI,OUTLANDER,OUTLANDER,ICE
HYUNDAI,PALIDA,PALIDA,ICE
HYUNDAI,PALIS,PALIS,ICE
HYUNDAI,PALISA,PALISA,ICE
HYUNDAI,PALLIS,PALLIS,ICE
HYUNDAI,PANTEC,PANTEC,ICE
HYUNDAI,PAVISE,PAVISE,ICE
HYUNDAI,PD I30,PD I30,ICE
HYUNDAI,PDE V6,PDE V6,ICE
HYUNDAI,PDEV6,PDEV6,BEV
HYUNDAI,QASHQA,QASHQA,ICE
HYUNDAI,QT 3,QT 3,ICE
HYUNDAI,QT2,QT2,ICE
HYUNDAI,QT3,QT3,ICE
HYUNDAI,QV250,QV250,ICE
HYUNDAI,QX V5,QX V5,ICE
HYUNDAI,R80CR9,R80CR9,ICE
HYUNDAI,REXTON,REXTON,ICE
HYUNDAI,SANAT,SANAT,ICE
HYUNDAI,SANATA,SANATA,ICE
HYUNDAI,SANET,SANET,ICE
HYUNDAI,SANFE,SANFE,ICE
HYUNDAI,SANTA,SANTA,ICE
HYUNDAI,SANTAF,SANTAF,ICE
HYUNDAI,SANTE,SANTE,ICE
HYUNDAI,SONATA,SONATA,ICE
HYUNDAI,SONTA,SONTA,ICE
HYUNDAI,SPRCAB,SPRCAB,ICE
HYUNDAI,SRULWV,SRULWV,ICE
HYUNDAI,STA FE,STA FE,ICE
HYUNDAI,STAIA,STAIA,ICE
HYUNDAI,STARA,STARA,ICE
HYUNDAI,STARIA,STARIA,ICE
HYUNDAI,STRALI,STRALI,ICE
HYUNDAI,SX2 KO,SX2 KO,ICE
HYUNDAI,SX2 V1,SX2 V1,ICE
HYUNDAI,SX2 V2,SX2 V2,ICE
HYUNDAI,SX2 V3,SX2 V3,ICE
HYUNDAI,SYARIA,SYARIA,ICE
HYUNDAI,T60 LU,T60 LU,ICE
HYUNDAI,TCSON,TCSON,ICE
HYUNDAI,TIGGO,TIGGO,ICE
HYUNDAI,TIGGO4,TIGGO4,ICE
HYUNDAI,TIGUAN,TIGUAN,ICE
HYUNDAI,TRANSI,TRANSI,ICE
HYUNDAI,TUCON,TUCON,ICE
HYUNDAI,TUCOSN,TUCOSN,ICE
HYUNDAI,TUCSCO,TUCSCO,ICE
HYUNDAI,TUCSO,TUCSO,ICE
HYUNDAI,TUCSON,TUCSON,ICE
HYUNDAI,TUCSUN,TUCSUN,ICE
HYUNDAI,TUSCON,TUSCON,ICE
HYUNDAI,TUSON,TUSON,ICE
HYUNDAI,US4 V3,US4 V3,ICE
HYUNDAI,V3 TUC,V3 TUC,ICE
HYUNDAI,VAN,VAN,ICE
HYUNDAI,VEBUE,VEBUE,ICE
HYUNDAI,VENEU,VENEU,ICE
HYUNDAI,VENNUE,VENNUE,ICE
HYUNDAI,VENUE,VENUE,ICE
HYUNDAI,VENUR,VENUR,ICE
HYUNDAI,VNUE A,VNUE A,ICE
HYUNDAI,WAGON,WAGON,ICE
HYUNDAI,WHITE,WHITE,ICE
HYUNDAI,WRX,WRX,ICE
HYUNDAI,XTRAIL,XTRAIL,ICE
HYUNDAI,ZS,ZS,ICE
HYUNDAI,ZST EX,ZST EX,ICE
JAECOO,7,7,ICE
JAECOO,7 SUMM,7 SUMM,ICE
JAECOO,7TRACK,7TRACK,ICE
JAECOO,GREEN,GREEN,ICE
JAECOO,J5,J5,ICE
JAECOO,J5 BEV,J5 BEV,BEV
JAECOO,J5 EV,J5 EV,BEV
JAECOO,J5 RID,J5 RID,ICE
JAECOO,J5 SU,J5 SU,ICE
JAECOO,J5 SUM,J5 SUM,ICE
JAECOO,J54 BE,J54 BE,ICE
JAECOO,J5BEVE,J5BEVE,BEV
JAECOO,J7,J7,ICE
JAECOO,J7 COR,J7 COR,ICE
JAECOO,J7 MY2,J7 MY2,ICE
JAECOO,J7 RID,J7 RID,ICE
JAECOO,J7 SHS,J7 SHS,ICE
JAECOO,J7 SUM,J7 SUM,ICE
JAECOO,J7 TRA,J7 TRA,ICE
JAECOO,J77 MY,J77 MY,ICE
JAECOO,J8,J8,ICE
JAECOO,J8 MY2,J8 MY2,ICE
JAECOO,J8 RID,J8 RID,ICE
JAECOO,J8 TRA,J8 TRA,ICE
JAECOO,JAECOO,JAECOO,ICE
JAECOO,MY25 8,MY25 8,ICE
JAECOO,MY25 J,MY25 J,ICE
JAECOO,MY25 O,MY25 O,ICE
JAECOO,OMODA,OMODA,ICE
JAECOO,T7 SUM,T7 SUM,ICE
JAGUAR,408,408,ICE
JAGUAR,E PACE,E PACE,ICE
JAGUAR,EPACE,EPACE,ICE
JAGUAR,F PACE,F PACE,ICE
JAGUAR,F TYPE,F TYPE,ICE
JAGUAR,F-PACE,F-PACE,ICE
JAGUAR,F-TYPE,F-TYPE,ICE
JAGUAR,FPACE,FPACE,ICE
JAGUAR,FTYPE,FTYPE,ICE
JAGUAR,H6,H6,ICE
JAGUAR,I PACE,I PACE,ICE
JAGUAR,IPACE,IPACE,ICE
JAGUAR,MY24 F,MY24 F,ICE
JAGUAR,P250 R,P250 R,ICE
JAGUAR,XE,XE,ICE
JAGUAR,XE 300,XE 300,ICE
JAGUAR,XE P30,XE P30,ICE
JAGUAR,XE15,XE15,ICE
JAGUAR,XE300,XE300,ICE
JAGUAR,XF,XF,ICE
JEEP,AVENGE,AVENGE,ICE
JEEP,CHEROK,CHEROK,ICE
JEEP,COMPAS,COMPAS,ICE
JEEP,GLADIA,GLADIA,ICE
JEEP,GLADIT,GLADIT,ICE
JEEP,GRAND,GRAND,ICE
JEEP,GRD CH,GRD CH,ICE
JEEP,GRDCHK,GRDCHK,ICE
JEEP,PATRIO,PATRIO,ICE
JEEP,RENEGA,RENEGA,ICE
JEEP,RUBICO,RUBICO,ICE
JEEP,WAGONR,WAGONR,ICE
JEEP,WRAGLE,WRAGLE,ICE
JEEP,WRAN99,WRAN99,ICE
JEEP,WRANG,WRANG,ICE
JEEP,WRANGE,WRANGE,ICE
JEEP,WRANGL,WRANGL,ICE
KGM,ACTYON,ACTYON,ICE
KGM,MUSSO,MUSSO,ICE
