make_standardized,model_raw,model_standardized,ev_category
KGM,REXTON,REXTON,ICE
KGM,SELTOS,SELTOS,ICE
KGM,SPORTA,SPORTA,ICE
KGM,TORRES,TORRES,ICE
KIA,2025,2025,ICE
KIA,2026,2026,ICE
KIA,ARIYA,ARIYA,ICE
KIA,BD CER,BD CER,ICE
KIA,BDH CE,BDH CE,ICE
KIA,CANRIV,CANRIV,ICE
KIA,CAR,CAR,ICE
KIA,CARBIV,CARBIV,ICE
KIA,CARINV,CARINV,ICE
KIA,CARIVA,CARIVA,ICE
KIA,CARN,CARN,ICE
KIA,CARNI,CARNI,ICE
KIA,CARNIA,CARNIA,ICE
KIA,CARNIV,CARNIV,ICE
KIA,CARNVA,CARNVA,ICE
KIA,CARNVI,CARNVI,ICE
KIA,CARNVL,CARNVL,ICE
KIA,CARVIV,CARVIV,ICE
KIA,CEARTO,CEARTO,ICE
KIA,CERAAT,CERAAT,ICE
KIA,CERARO,CERARO,ICE
KIA,CERAT,CERAT,ICE
KIA,CERAT0,CERAT0,ICE
KIA,CERATO,CERATO,ICE
KIA,CERRAT,CERRAT,ICE
KIA,CERTAO,CERTAO,ICE
KIA,CERTAT,CERTAT,ICE
KIA,CERTO,CERTO,ICE
KIA,CK STI,CK STI,ICE
KIA,CL4M,CL4M,ICE
KIA,CL4M K,CL4M K,ICE
KIA,CRANIV,CRANIV,ICE
KIA,CV EV6,CV EV6,BEV
KIA,CVEV6,CVEV6,BEV
KIA,D4HEPH,D4HEPH,ICE
KIA,DE NIR,DE NIR,ICE
KIA,EV 3,EV 3,BEV
KIA,EV 5,EV 5,BEV
KIA,EV 5 E,EV 5 E,BEV
KIA,EV 6,EV 6,BEV
KIA,EV 9,EV 9,BEV
KIA,EV3,EV3,BEV
KIA,EV3 A,EV3 A,BEV
KIA,EV3 AI,EV3 AI,BEV
KIA,EV3 EA,EV3 EA,BEV
KIA,EV3 GT,EV3 GT,BEV
KIA,EV4,EV4,BEV
KIA,EV4 AI,EV4 AI,BEV
KIA,EV4 CT,EV4 CT,BEV
KIA,EV4 EA,EV4 EA,BEV
KIA,EV4 GT,EV4 GT,BEV
KIA,EV5,EV5,BEV
KIA,EV5 AI,EV5 AI,BEV
KIA,EV5 EA,EV5 EA,BEV
KIA,EV5 GT,EV5 GT,BEV
KIA,EV5 OV,EV5 OV,BEV
KIA,EV6,EV6,BEV
KIA,EV6 AI,EV6 AI,BEV
KIA,EV6 EL,EV6 EL,BEV
KIA,EV6 GT,EV6 GT,BEV
KIA,EV6 RW,EV6 RW,BEV
KIA,EV6GT,EV6GT,BEV
KIA,EV9,EV9,BEV
KIA,EV9 GT,EV9 GT,BEV
KIA,EVA,EVA,BEV
KIA,EVERES,EVERES,BEV
KIA,EX5,EX5,ICE
KIA,G10,G10,ICE
KIA,G4FTSH,G4FTSH,ICE
KIA,G4LASP,G4LASP,ICE
KIA,G4LCPS,G4LCPS,ICE
KIA,GREY,GREY,ICE
KIA,I30,I30,ICE
KIA,JA PIC,JA PIC,ICE
KIA,JOLION,JOLION,ICE
KIA,K4,K4,ICE
KIA,K4 CL4,K4 CL4,ICE
KIA,K4 GT,K4 GT,ICE
KIA,K4 GTL,K4 GTL,ICE
KIA,K4 MY2,K4 MY2,ICE
KIA,K4 S,K4 S,ICE
KIA,K4 SPO,K4 SPO,ICE
KIA,KA,KA,ICE
KIA,KA GT,KA GT,ICE
KIA,KA4,KA4,ICE
KIA,KA4 CA,KA4 CA,ICE
KIA,KA4 PE,KA4 PE,ICE
KIA,MQ4,MQ4,ICE
KIA,MQ4 PE,MQ4 PE,ICE
KIA,MQ4 SO,MQ4 SO,ICE
KIA,MU X,MU X,ICE
KIA,MUSSO,MUSSO,ICE
KIA,MV EV9,MV EV9,BEV
KIA,NERO,NERO,ICE
KIA,NIR0,NIR0,ICE
KIA,NIRO,NIRO,ICE
KIA,NIRO E,NIRO E,ICE
KIA,NIRO G,NIRO G,ICE
KIA,NIRO H,NIRO H,ICE
KIA,NIRO S,NIRO S,ICE
KIA,NQ5,NQ5,ICE
KIA,NQ5 SP,NQ5 SP,ICE
KIA,OMODA,OMODA,ICE
KIA,OVC EV,OVC EV,BEV
KIA,PCIANT,PCIANT,ICE
KIA,PE CAR,PE CAR,ICE
KIA,PE CER,PE CER,ICE
KIA,PE SOR,PE SOR,ICE
KIA,PICAN,PICAN,ICE
KIA,PICANO,PICANO,ICE
KIA,PICANT,PICANT,ICE
KIA,PICATO,PICATO,ICE
KIA,PICNAT,PICNAT,ICE
KIA,PINCAT,PINCAT,ICE
KIA,QASHQA,QASHQA,ICE
KIA,R,R,ICE
KIA,RIO,RIO,ICE
KIA,RIO GT,RIO GT,ICE
KIA,RIO PE,RIO PE,ICE
KIA,RIO S,RIO S,ICE
KIA,RIO SP,RIO SP,ICE
KIA,RIO ST,RIO ST,ICE
KIA,SANTA,SANTA,ICE
KIA,SEALIO,SEALIO,ICE
KIA,SEDAN,SEDAN,ICE
KIA,SELOTS,SELOTS,ICE
KIA,SELT,SELT,ICE
KIA,SELTO,SELTO,ICE
KIA,SELTOC,SELTOC,ICE
KIA,SELTOD,SELTOD,ICE
KIA,SELTOS,SELTOS,ICE
KIA,SELTS,SELTS,ICE
KIA,SERENT,SERENT,ICE
KIA,SETLOS,SETLOS,ICE
KIA,SETOS,SETOS,ICE
KIA,SG2 NI,SG2 NI,ICE
KIA,SL10,SL10,ICE
KIA,SLTOS,SLTOS,ICE
KIA,SO,SO,ICE
KIA,SOENTO,SOENTO,ICE
KIA,SOERNT,SOERNT,ICE
KIA,SONIC,SONIC,ICE
KIA,SORE,SORE,ICE
KIA,SOREN,SOREN,ICE
KIA,SORENO,SORENO,ICE
KIA,SORENT,SORENT,ICE
KIA,SORETN,SORETN,ICE
KIA,SORNET,SORNET,ICE
KIA,SORNTO,SORNTO,ICE
KIA,SORREN,SORREN,ICE
KIA,SORRET,SORRET,ICE
KIA,SORTAG,SORTAG,ICE
KIA,SP,SP,ICE
KIA,SPORTA,SPORTA,ICE
KIA,SP2,SP2,ICE
KIA,SP2 SE,SP2 SE,ICE
KIA,SPARTA,SPARTA,ICE
KIA,SPORAG,SPORAG,ICE
KIA,SPORAT,SPORAT,ICE
KIA,SPORGA,SPORGA,ICE
KIA,SPORT,SPORT,ICE
KIA,SPORTG,SPORTG,ICE
KIA,SPORTR,SPORTR,ICE
KIA,SPORTS,SPORTS,ICE
KIA,SPOTRA,SPOTRA,ICE
KIA,SPPORT,SPPORT,ICE
KIA,SPRENT,SPRENT,ICE
KIA,SPROTA,SPROTA,ICE
KIA,SPTAGE,SPTAGE,ICE
KIA,STINGE,STINGE,ICE
KIA,STINIC,STINIC,ICE
KIA,STOIC,STOIC,ICE
KIA,STONC,STONC,ICE
KIA,STONI,STONI,ICE
KIA,STONIC,STONIC,ICE
KIA,STORTA,STORTA,ICE
KIA,SWIFT,SWIFT,ICE
KIA,TANK 3,TANK 3,ICE
KIA,TASAMA,TASAMA,ICE
KIA,TASMAN,TASMAN,ICE
KIA,TIGGO,TIGGO,ICE
KIA,TK,TK,ICE
KIA,TK TAS,TK TAS,ICE
KIA,TUCSON,TUCSON,ICE
KIA,VENUE,VENUE,ICE
KIA,WAGON,WAGON,ICE
KIA,X TRAI,X TRAI,ICE
KIA,XTRAIL,XTRAIL,ICE
KIA,YB RIO,YB RIO,ICE
KIA,YB STO,YB STO,ICE
KIA,YBW ST,YBW ST,ICE
LEXUS,1ZA8MV,1ZA8MV,ICE
LEXUS,ENX250,ENX250,ICE
LEXUS,ES,ES,ICE
LEXUS,ES 500,ES 500,ICE
LEXUS,ES250,ES250,ICE
LEXUS,ES300,ES300,ICE
LEXUS,ES300H,ES300H,ICE
LEXUS,ES300S,ES300S,ICE
LEXUS,EX350H,EX350H,ICE
LEXUS,G10,G10,ICE
LEXUS,GX,GX,ICE
LEXUS,GX50,GX50,ICE
LEXUS,GX550,GX550,ICE
LEXUS,L5500H,L5500H,ICE
LEXUS,LBX,LBX,ICE
LEXUS,LBX 2W,LBX 2W,ICE
LEXUS,LBX LU,LBX LU,ICE
LEXUS,LBX MO,LBX MO,ICE
LEXUS,LBX SP,LBX SP,ICE
LEXUS,LC500,LC500,ICE
LEXUS,LC500C,LC500C,ICE
LEXUS,LC500H,LC500H,ICE
LEXUS,LEXUS,LEXUS,ICE
LEXUS,LM350H,LM350H,ICE
LEXUS,LM500H,LM500H,ICE
LEXUS,LS500,LS500,ICE
LEXUS,LS500H,LS500H,ICE
LEXUS,LX,LX,ICE
LEXUS,LX350H,LX350H,ICE
LEXUS,LX500D,LX500D,ICE
LEXUS,LX50D,LX50D,ICE
LEXUS,LX550D,LX550D,ICE
LEXUS,LX600,LX600,ICE
LEXUS,LX700H,LX700H,ICE
LEXUS,M15AZ0,M15AZ0,ICE
LEXUS,MORIZO,MORIZO,ICE
LEXUS,NH450H,NH450H,ICE
LEXUS,NX,NX,ICE
LEXUS,NX 350,NX 350,ICE
LEXUS,NX250,NX250,ICE
LEXUS,NX350,NX350,ICE
LEXUS,NX350H,NX350H,ICE
LEXUS,NX450,NX450,ICE
LEXUS,NX450H,NX450H,ICE
LEXUS,NZ450H,NZ450H,ICE
LEXUS,RC550H,RC550H,ICE
LEXUS,RX,RX,ICE
LEXUS,RX AL3,RX AL3,ICE
LEXUS,RX350,RX350,ICE
LEXUS,RX350F,RX350F,ICE
LEXUS,RX350H,RX350H,ICE
LEXUS,RX450E,RX450E,ICE
LEXUS,RX450H,RX450H,ICE
LEXUS,RX500H,RX500H,ICE
LEXUS,RXH,RXH,ICE
LEXUS,RZ,RZ,ICE
LEXUS,RZ450E,RZ450E,ICE
LEXUS,RZ500,RZ500,ICE
LEXUS,RZ500E,RZ500E,ICE
LEXUS,RZ550E,RZ550E,ICE
LEXUS,UX,UX,ICE
LEXUS,UX200,UX200,ICE
LEXUS,UX250H,UX250H,ICE
LEXUS,UX300E,UX300E,ICE
LEXUS,UX300H,UX300H,ICE
LEXUS,UX50H,UX50H,ICE
LOTUS,ELETRE,ELETRE,ICE
LOTUS,EMEYA,EMEYA,ICE
LOTUS,EMIRA,EMIRA,ICE
MAHINDRA,NAN,NAN,ICE
MAHINDRA,3650,3650,ICE
MAHINDRA,3XO,3XO,ICE
MAHINDRA,3XO XU,3XO XU,ICE
MAHINDRA,3XOAX7,3XOAX7,ICE
MAHINDRA,4025,4025,ICE
MAHINDRA,5 SERI,5 SERI,ICE
MAHINDRA,7580,7580,ICE
MAHINDRA,AX7L,AX7L,ICE
MAHINDRA,PICK,PICK,ICE
MAHINDRA,PIK UP,PIK UP,ICE
MAHINDRA,PIKIP,PIKIP,ICE
MAHINDRA,PIKUP,PIKUP,ICE
MAHINDRA,S11,S11,ICE
MAHINDRA,S11 PI,S11 PI,ICE
MAHINDRA,S6,S6,ICE
MAHINDRA,S6 PIK,S6 PIK,ICE
MAHINDRA,SCOPIO,SCOPIO,ICE
MAHINDRA,SCOPRI,SCOPRI,ICE
MAHINDRA,SCORP,SCORP,ICE
MAHINDRA,SCORPI,SCORPI,ICE
MAHINDRA,SCORPO,SCORPO,ICE
MAHINDRA,WF XUV,WF XUV,ICE
MAHINDRA,X,X,ICE
MAHINDRA,XRV700,XRV700,ICE
MAHINDRA,XU700,XU700,ICE
MAHINDRA,XUV,XUV,ICE
MAHINDRA,XUV 3X,XUV 3X,ICE
MAHINDRA,XUV 70,XUV 70,ICE
MAHINDRA,XUV 7O,XUV 7O,ICE
MAHINDRA,XUV3X0,XUV3X0,ICE
MAHINDRA,XUV3XO,XUV3XO,ICE
MAHINDRA,XUV700,XUV700,ICE
MAHINDRA,XUV7OO,XUV7OO,ICE
MAHINDRA,XVV700,XVV700,ICE
MAHINDRA,ZUV700,ZUV700,ICE
MAZDA,2,2,ICE
MAZDA,2 G15,2 G15,ICE
MAZDA,2 HATC,2 HATC,ICE
MAZDA,2 HB G,2 HB G,ICE
MAZDA,2 PURE,2 PURE,ICE
MAZDA,2 S G1,2 S G1,ICE
MAZDA,200,200,ICE
MAZDA,200RAS,200RAS,ICE
MAZDA,2024,2024,ICE
MAZDA,2025,2025,ICE
MAZDA,3,3,ICE
MAZDA,3 ASTI,3 ASTI,ICE
MAZDA,3 EVOL,3 EVOL,BEV
MAZDA,3 G20,3 G20,ICE
MAZDA,3 G25,3 G25,ICE
MAZDA,3 HATC,3 HATC,ICE
MAZDA,3 Q G2,3 Q G2,ICE
MAZDA,3 Q6 G,3 Q6 G,ICE
MAZDA,300,300,ICE
MAZDA,300PAH,300PAH,ICE
MAZDA,323P01,323P01,ICE
MAZDA,3B09,3B09,ICE
MAZDA,4JJ3EL,4JJ3EL,ICE
MAZDA,5,5,ICE
MAZDA,6,6,ICE
MAZDA,6 ANNI,6 ANNI,ICE
MAZDA,6 G25,6 G25,ICE
MAZDA,6 GT S,6 GT S,ICE
MAZDA,6 GTSP,6 GTSP,ICE
MAZDA,6 TOUR,6 TOUR,ICE
MAZDA,600TAS,600TAS,ICE
MAZDA,B30,B30,ICE
MAZDA,B50,B50,ICE
MAZDA,BR50,BR50,ICE
MAZDA,BT 50,BT 50,ICE
MAZDA,BT-50,BT-50,ICE
MAZDA,BT-50D,BT-50D,ICE
MAZDA,BT050,BT050,ICE
MAZDA,BT50,BT50,ICE
MAZDA,BT50 D,BT50 D,ICE
MAZDA,BT50 F,BT50 F,ICE
MAZDA,BT50 G,BT50 G,ICE
MAZDA,BT50 H,BT50 H,ICE
MAZDA,BT50 P,BT50 P,ICE
MAZDA,BT50 S,BT50 S,ICE
MAZDA,BT50 T,BT50 T,ICE
MAZDA,BT50 X,BT50 X,ICE
MAZDA,BT50D,BT50D,ICE
MAZDA,BT590,BT590,ICE
MAZDA,BT5O,BT5O,ICE
MAZDA,BT5O X,BT5O X,ICE
MAZDA,BT80,BT80,ICE
MAZDA,C3,C3,ICE
MAZDA,C30,C30,ICE
MAZDA,C30F,C30F,ICE
MAZDA,C5,C5,ICE
MAZDA,C60,C60,ICE
MAZDA,C90,C90,ICE
MAZDA,CCX30,CCX30,ICE
MAZDA,CCX9,CCX9,ICE
MAZDA,CX 3,CX 3,ICE
MAZDA,CX 3 A,CX 3 A,ICE
MAZDA,CX 3 E,CX 3 E,ICE
MAZDA,CX 3 G,CX 3 G,ICE
MAZDA,CX 3 M,CX 3 M,ICE
MAZDA,CX 3 S,CX 3 S,ICE
MAZDA,CX 3 T,CX 3 T,ICE
MAZDA,CX 30,CX 30,ICE
MAZDA,CX-5,CX-5,ICE
MAZDA,CX 5 A,CX 5 A,ICE
MAZDA,CX 5 D,CX 5 D,ICE
MAZDA,CX 5 G,CX 5 G,ICE
MAZDA,CX 5 M,CX 5 M,ICE
MAZDA,CX 5 N,CX 5 N,ICE
MAZDA,CX 60,CX 60,ICE
MAZDA,CX 70,CX 70,ICE
MAZDA,CX 8,CX 8,ICE
MAZDA,CX 8 G,CX 8 G,ICE
MAZDA,CX 8 S,CX 8 S,ICE
MAZDA,CX 8 T,CX 8 T,ICE
MAZDA,CX 80,CX 80,ICE
MAZDA,CX 9,CX 9,ICE
MAZDA,CX 9 T,CX 9 T,ICE
MAZDA,CX 90,CX 90,ICE
MAZDA,CX-3,CX-3,ICE
MAZDA,CX-30,CX-30,ICE
MAZDA,CX-60,CX-60,ICE
MAZDA,CX-60A,CX-60A,ICE
MAZDA,CX-8,CX-8,ICE
MAZDA,CX-80,CX-80,ICE
MAZDA,CX3,CX3,ICE
MAZDA,CX3 20,CX3 20,ICE
MAZDA,CX3 AK,CX3 AK,ICE
MAZDA,CX3 EV,CX3 EV,BEV
MAZDA,CX3 G2,CX3 G2,ICE
MAZDA,CX3 GT,CX3 GT,ICE
MAZDA,CX3 MA,CX3 MA,ICE
MAZDA,CX3 PU,CX3 PU,ICE
MAZDA,CX3 S,CX3 S,ICE
MAZDA,CX3 SP,CX3 SP,ICE
MAZDA,CX3 ST,CX3 ST,ICE
MAZDA,CX3 TO,CX3 TO,ICE
MAZDA,CX30,CX30,ICE
MAZDA,CX30 A,CX30 A,ICE
MAZDA,CX30 D,CX30 D,ICE
MAZDA,CX30 E,CX30 E,ICE
MAZDA,CX30 G,CX30 G,ICE
MAZDA,CX30 P,CX30 P,ICE
MAZDA,CX30 T,CX30 T,ICE
MAZDA,CX30 V,CX30 V,ICE
MAZDA,CX30 X,CX30 X,ICE
MAZDA,CX3W,CX3W,ICE
MAZDA,CX5 AK,CX5 AK,ICE
MAZDA,CX5 G,CX5 G,ICE
MAZDA,CX5 G2,CX5 G2,ICE
MAZDA,CX5 G3,CX5 G3,ICE
MAZDA,CX5 GT,CX5 GT,ICE
MAZDA,CX5 MA,CX5 MA,ICE
MAZDA,CX5 N,CX5 N,ICE
MAZDA,CX5 SP,CX5 SP,ICE
MAZDA,CX5 TO,CX5 TO,ICE
MAZDA,CX5 TU,CX5 TU,ICE
MAZDA,CX5B,CX5B,ICE
MAZDA,CX5G20,CX5G20,ICE
MAZDA,CX5G35,CX5G35,ICE
MAZDA,CX60,CX60,ICE
MAZDA,CX60 8,CX60 8,ICE
MAZDA,CX60 A,CX60 A,ICE
MAZDA,CX60 D,CX60 D,ICE
MAZDA,CX60 E,CX60 E,ICE
MAZDA,CX60 G,CX60 G,ICE
MAZDA,CX60 H,CX60 H,ICE
MAZDA,CX60 P,CX60 P,ICE
MAZDA,CX60 T,CX60 T,ICE
MAZDA,CX60 V,CX60 V,ICE
MAZDA,CX6060,CX6060,ICE
MAZDA,CX70,CX70,ICE
MAZDA,CX70 A,CX70 A,ICE
MAZDA,CX8,CX8,ICE
MAZDA,CX8 AS,CX8 AS,ICE
MAZDA,CX8 D3,CX8 D3,ICE
MAZDA,CX8 G2,CX8 G2,ICE
MAZDA,CX8 GT,CX8 GT,ICE
MAZDA,CX8 SP,CX8 SP,ICE
MAZDA,CX8 TO,CX8 TO,ICE
MAZDA,CX80,CX80,ICE
MAZDA,CX80 A,CX80 A,ICE
MAZDA,CX80 D,CX80 D,ICE
MAZDA,CX80 G,CX80 G,ICE
MAZDA,CX80 P,CX80 P,ICE
MAZDA,CX80 T,CX80 T,ICE
MAZDA,CX9,CX9,ICE
MAZDA,CX9 AZ,CX9 AZ,ICE
MAZDA,CX9 GT,CX9 GT,ICE
MAZDA,CX9 SP,CX9 SP,ICE
MAZDA,CX9 TO,CX9 TO,ICE
MAZDA,CX90,CX90,ICE
MAZDA,CX90 A,CX90 A,ICE
MAZDA,CX90 B,CX90 B,ICE
MAZDA,CX90 D,CX90 D,ICE
MAZDA,CX90 G,CX90 G,ICE
MAZDA,CX90 H,CX90 H,ICE
MAZDA,CXX3,CXX3,ICE
MAZDA,CXX5,CXX5,ICE
MAZDA,CXX9,CXX9,ICE
MAZDA,EV60,EV60,BEV
MAZDA,GREY,GREY,ICE
MAZDA,H6 ULT,H6 ULT,ICE
MAZDA,JOLION,JOLION,ICE
MAZDA,LOVELL,LOVELL,ICE
MAZDA,M2,M2,ICE
MAZDA,M3,M3,ICE
MAZDA,M3 G25,M3 G25,ICE
MAZDA,M3 TOU,M3 TOU,ICE
MAZDA,M6,M6,ICE
MAZDA,MA,MA,ICE
MAZDA,MAZD3,MAZD3,ICE
MAZDA,MAZDA,MAZDA,ICE
MAZDA,MAZDA2,MAZDA2,ICE
MAZDA,MAZDA3,MAZDA3,ICE
MAZDA,MAZDA6,MAZDA6,ICE
MAZDA,MAZDZA,MAZDZA,ICE
MAZDA,MX 30,MX 30,ICE
MAZDA,MX 5,MX 5,ICE
MAZDA,MX 5 R,MX 5 R,ICE
MAZDA,MX 5 X,MX 5 X,ICE
MAZDA,MX30,MX30,ICE
MAZDA,MX30 E,MX30 E,ICE
MAZDA,MX30 G,MX30 G,ICE
MAZDA,MX5,MX5,ICE
MAZDA,MX5 G2,MX5 G2,ICE
MAZDA,NT50,NT50,ICE
MAZDA,P52104,P52104,ICE
MAZDA,PE5038,PE5038,ICE
MAZDA,PE5041,PE5041,ICE
MAZDA,PEDDER,PEDDER,ICE
MAZDA,PY 223,PY 223,ICE
MAZDA,PY1116,PY1116,ICE
MAZDA,PY2214,PY2214,ICE
MAZDA,PY2255,PY2255,ICE
MAZDA,PY3157,PY3157,ICE
MAZDA,PY3163,PY3163,ICE
MAZDA,RED,RED,ICE
MAZDA,TOURIN,TOURIN,ICE
MAZDA,TUCSON,TUCSON,ICE
MAZDA,X5 G35,X5 G35,ICE
MAZDA,XT,XT,ICE
MAZDA,ZS EV,ZS EV,BEV
MERCEDES-BENZ,NAN,NAN,ICE
MERCEDES-BENZ,0500LE,0500LE,ICE
MERCEDES-BENZ,0500R,0500R,ICE
MERCEDES-BENZ,0500RF,0500RF,ICE
MERCEDES-BENZ,0500RS,0500RS,ICE
MERCEDES-BENZ,112 EV,112 EV,BEV
MERCEDES-BENZ,114 VI,114 VI,ICE
MERCEDES-BENZ,116 VI,116 VI,ICE
MERCEDES-BENZ,119 VI,119 VI,ICE
MERCEDES-BENZ,2025,2025,ICE
MERCEDES-BENZ,21106,21106,ICE
MERCEDES-BENZ,254,254,ICE
MERCEDES-BENZ,2658 A,2658 A,ICE
MERCEDES-BENZ,2663,2663,ICE
MERCEDES-BENZ,3 PRO,3 PRO,ICE
MERCEDES-BENZ,311 SP,311 SP,ICE
MERCEDES-BENZ,315 CD,315 CD,ICE
MERCEDES-BENZ,315 SP,315 SP,ICE
MERCEDES-BENZ,316,316,ICE
MERCEDES-BENZ,317,317,ICE
MERCEDES-BENZ,317 SP,317 SP,ICE
MERCEDES-BENZ,319 SP,319 SP,ICE
MERCEDES-BENZ,380S83,380S83,ICE
MERCEDES-BENZ,415 SP,415 SP,ICE
MERCEDES-BENZ,417 CD,417 CD,ICE
MERCEDES-BENZ,417 SP,417 SP,ICE
MERCEDES-BENZ,419 MW,419 MW,ICE
MERCEDES-BENZ,419 SP,419 SP,ICE
MERCEDES-BENZ,420E S,420E S,ICE
MERCEDES-BENZ,447,447,ICE
MERCEDES-BENZ,517 SP,517 SP,ICE
MERCEDES-BENZ,519 SP,519 SP,ICE
MERCEDES-BENZ,907,907,ICE
MERCEDES-BENZ,907 SP,907 SP,ICE
MERCEDES-BENZ,910 SP,910 SP,ICE
MERCEDES-BENZ,96X,96X,ICE
MERCEDES-BENZ,96X 3,96X 3,ICE
MERCEDES-BENZ,A 180,A 180,ICE
MERCEDES-BENZ,A 200,A 200,ICE
MERCEDES-BENZ,A 250,A 250,ICE
MERCEDES-BENZ,A 35,A 35,ICE
MERCEDES-BENZ,A 35 A,A 35 A,ICE
MERCEDES-BENZ,A 35 S,A 35 S,ICE
MERCEDES-BENZ,A 45,A 45,ICE
MERCEDES-BENZ,A 45 S,A 45 S,ICE
MERCEDES-BENZ,A CLAS,A CLAS,ICE
MERCEDES-BENZ,A180,A180,ICE
MERCEDES-BENZ,A200,A200,ICE
MERCEDES-BENZ,A200 S,A200 S,ICE
MERCEDES-BENZ,A250,A250,ICE
MERCEDES-BENZ,A250 4,A250 4,ICE
MERCEDES-BENZ,A250 S,A250 S,ICE
MERCEDES-BENZ,A250E,A250E,ICE
MERCEDES-BENZ,A35,A35,ICE
MERCEDES-BENZ,A35 AM,A35 AM,ICE
MERCEDES-BENZ,A35 ED,A35 ED,ICE
MERCEDES-BENZ,A35 SE,A35 SE,ICE
MERCEDES-BENZ,A45,A45,ICE
MERCEDES-BENZ,A45 AM,A45 AM,ICE
MERCEDES-BENZ,A45 ED,A45 ED,ICE
MERCEDES-BENZ,A45 S,A45 S,ICE
MERCEDES-BENZ,A45S,A45S,ICE
MERCEDES-BENZ,A45S A,A45S A,ICE
MERCEDES-BENZ,ACROSS,ACROSS,ICE
MERCEDES-BENZ,ACTOS,ACTOS,ICE
MERCEDES-BENZ,ACTR,ACTR,ICE
MERCEDES-BENZ,ACTROS,ACTROS,ICE
MERCEDES-BENZ,ALL TE,ALL TE,ICE
MERCEDES-BENZ,AMG A,AMG A,ICE
MERCEDES-BENZ,AMG C,AMG C,ICE
MERCEDES-BENZ,AMG CL,AMG CL,ICE
MERCEDES-BENZ,AMG E,AMG E,ICE
MERCEDES-BENZ,AMG G,AMG G,ICE
MERCEDES-BENZ,AMG GL,AMG GL,ICE
MERCEDES-BENZ,AMG GT,AMG GT,ICE
MERCEDES-BENZ,AMG SL,AMG SL,ICE
MERCEDES-BENZ,AMGA35,AMGA35,ICE
MERCEDES-BENZ,AROCS,AROCS,ICE
MERCEDES-BENZ,ATEGO,ATEGO,ICE
MERCEDES-BENZ,B 180,B 180,ICE
MERCEDES-BENZ,B180,B180,ICE
MERCEDES-BENZ,C 200,C 200,ICE
MERCEDES-BENZ,C 300,C 300,ICE
MERCEDES-BENZ,C 350,C 350,ICE
MERCEDES-BENZ,C 43,C 43,ICE
MERCEDES-BENZ,C 43 A,C 43 A,ICE
MERCEDES-BENZ,C 63,C 63,ICE
MERCEDES-BENZ,C 63 E,C 63 E,ICE
MERCEDES-BENZ,C 63 S,C 63 S,ICE
MERCEDES-BENZ,C CLAS,C CLAS,ICE
MERCEDES-BENZ,C200,C200,ICE
MERCEDES-BENZ,C200 N,C200 N,ICE
MERCEDES-BENZ,C200 S,C200 S,ICE
MERCEDES-BENZ,C300,C300,ICE
MERCEDES-BENZ,C300CA,C300CA,ICE
MERCEDES-BENZ,C350,C350,ICE
MERCEDES-BENZ,C350E,C350E,ICE
